field,transect,plot,soilPctC,soilPctN,lastCrop,age07
i,4,11,0.655,0.059,soybeans ,48
i,4,24,0.903,0.08,soybeans ,48
i,4,30,0.646,0.061,soybeans ,48
i,4,41,0.493,0.048,soybeans ,48
i,4,43,0.81,0.078,soybeans ,48
i,4,48,NA,NA,soybeans ,48
i,4,49,0.811,0.076,soybeans ,48
i,4,51,0.761,0.071,soybeans ,48
i,4,offT,0.695,0.067,soybeans ,48
i,3,1,0.602,0.057,soybeans ,48
i,3,2,0.424,0.045,soybeans ,48
i,1,1,0.893,0.081,soybeans ,48
i,1,8,1.098,0.101,soybeans ,48
i,1,9,0.678,0.062,soybeans ,48
i,1,13,0.787,0.072,soybeans ,48
i,1,14,0.755,0.069,soybeans ,48
i,1,17,0.524,0.052,soybeans ,48
i,1,18,0.687,0.065,soybeans ,48
i,1,19,0.57,0.055,soybeans ,48
